"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TITOLO_STUDIO","Titolo di studio","CITTADINANZA","Cittadinanza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","1","maschi","Y_GE15","15 anni e più","11","laurea e post-laurea","ITL","italiano-a","2020-Q3","T3-2020",2374.955,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","11","laurea e post-laurea","ITL","italiano-a","2020-Q4","T4-2020",2435.532,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019","2019",12076.473,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019-Q1","T1-2019",11900.949,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019-Q2","T2-2019",12127.488,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019-Q4","T4-2019",12106.083,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019-Q3","T3-2019",12171.37,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020","2020",11918.984,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020-Q2","T2-2020",11872.71,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020-Q1","T1-2020",11932.903,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020-Q3","T3-2020",11948.39,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020-Q4","T4-2020",11921.934,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019","2019",136.47,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q1","T1-2019",135.433,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q2","T2-2019",138.108,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q4","T4-2019",134.172,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q3","T3-2019",138.166,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020","2020",119.512,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q2","T2-2020",119.903,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q1","T1-2020",113.393,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q3","T3-2020",128.346,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q4","T4-2020",116.404,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019","2019",1709.507,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019-Q1","T1-2019",1671.827,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019-Q2","T2-2019",1730.977,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019-Q4","T4-2019",1696.378,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019-Q3","T3-2019",1738.848,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2020","2020",1629.985,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2020-Q2","T2-2020",1635.763,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2020-Q1","T1-2020",1629.31,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2020-Q3","T3-2020",1673.953,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2020-Q4","T4-2020",1580.913,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2019","2019",4130.772,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2019-Q1","T1-2019",4076.742,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2019-Q2","T2-2019",4196.323,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2019-Q4","T4-2019",4115.623,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2019-Q3","T3-2019",4134.402,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2020","2020",4049.508,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2020-Q2","T2-2020",4006.288,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2020-Q1","T1-2020",4105.745,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2020-Q3","T3-2020",4007.739,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2020-Q4","T4-2020",4078.261,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","11","laurea e post-laurea","ITL","italiano-a","2019","2019",2801.458,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","11","laurea e post-laurea","ITL","italiano-a","2019-Q1","T1-2019",2795.217,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","11","laurea e post-laurea","ITL","italiano-a","2019-Q2","T2-2019",2846.239,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","11","laurea e post-laurea","ITL","italiano-a","2019-Q4","T4-2019",2826.612,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","11","laurea e post-laurea","ITL","italiano-a","2019-Q3","T3-2019",2737.765,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","11","laurea e post-laurea","ITL","italiano-a","2020","2020",2839.685,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","11","laurea e post-laurea","ITL","italiano-a","2020-Q2","T2-2020",2820.889,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","11","laurea e post-laurea","ITL","italiano-a","2020-Q1","T1-2020",2892.427,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","11","laurea e post-laurea","ITL","italiano-a","2020-Q3","T3-2020",2698.053,,
