"Osservatorio: Osservatorio sugli stranieri - Retribuzioni dei lavoratori dipendenti stranieri"
"Filtri:"
"Area di provenienza:Paesi esteri extra UE";"Classe di età:Fino a 19";"Classe di età:20 - 24";"Classe di età:25 - 29";"Classe di età:30 - 34";"Regione:Lombardia"

"
                        
                            
                        
                    ";"
                        
                            
                                
                                    
                                
                                -
                                
                                
                                    Cerca
                                
                            
                        
                    ";"
                            
                                
                                    
                                        
                                        
                                             Entra in MyINPS
" -Lavoratori dipendenti del settore privato non agricolo";"Apprendisti";"";"3.457 ";"8.932,18 ";"6.628 ";"10.839,58 ";"10.085 ";"10.185,75 ";"3.331 ";"9.063,61 ";"6.480 ";"11.056,36 ";"9.811 ";"10.379,79 ";"3.438 ";"9.084,04 ";"6.305 ";"11.164,35 ";"9.743 ";"10.430,27 ";"3.374 ";"9.429,04 ";"5.947 ";"11.388,22 ";"9.321 ";"10.679,04 ";"3.308 ";"9.419,47 ";"6.027 ";"11.339,76 ";"9.335 ";"10.659,27 ";"2.895 ";"9.893,85 ";"5.292 ";"11.960,93 ";"8.187 ";"11.229,99 ";"2.836 ";"9.479,93 ";"5.616 ";"11.153,11 ";"8.452 ";"10.591,69 ";"3.336 ";"9.224,08 ";"6.658 ";"11.201,98 ";"9.994 ";"10.541,75 ";"4.231 ";"9.684,32 ";"8.169 ";"12.163,93 ";"12.400 ";"11.317,86 ";"4.893 ";"10.372,72 ";"9.674 ";"12.664,50 ";"14.567 ";"11.894,70 "
" ";"Dirigenti";"";"11 ";"78.246,45 ";"28 ";"85.433,75 ";"39 ";"83.406,56 ";"16 ";"81.438,56 ";"33 ";"68.220,15 ";"49 ";"72.536,37 ";"20 ";"72.522,55 ";"28 ";"94.588,71 ";"48 ";"85.394,48 ";"15 ";"72.639,40 ";"24 ";"94.203,79 ";"39 ";"85.909,79 ";"13 ";"87.348,38 ";"24 ";"86.136,08 ";"37 ";"86.562,03 ";"19 ";"84.195,16 ";"26 ";"83.986,04 ";"45 ";"84.074,33 ";"15 ";"78.896,53 ";"25 ";"90.653,80 ";"40 ";"86.244,83 ";"18 ";"77.717,67 ";"27 ";"106.084,63 ";"45 ";"94.737,84 ";"13 ";"86.566,92 ";"24 ";"103.790,46 ";"37 ";"97.738,95 ";"15 ";"78.078,13 ";"24 ";"111.926,21 ";"39 ";"98.907,72 "
" ";"Impiegati";"";"8.289 ";"14.880,58 ";"4.040 ";"18.889,21 ";"12.329 ";"16.194,14 ";"8.778 ";"14.810,10 ";"4.497 ";"18.647,10 ";"13.275 ";"16.109,91 ";"9.037 ";"14.727,63 ";"4.641 ";"18.856,38 ";"13.678 ";"16.128,53 ";"8.841 ";"14.993,74 ";"4.711 ";"19.126,88 ";"13.552 ";"16.430,51 ";"8.566 ";"14.916,71 ";"4.643 ";"18.789,00 ";"13.209 ";"16.277,83 ";"9.748 ";"15.144,29 ";"5.460 ";"20.468,12 ";"15.208 ";"17.055,66 ";"10.280 ";"15.887,07 ";"6.231 ";"20.203,09 ";"16.511 ";"17.515,87 ";"11.073 ";"15.798,30 ";"6.810 ";"20.059,46 ";"17.883 ";"17.420,99 ";"12.230 ";"16.174,04 ";"7.327 ";"20.937,91 ";"19.557 ";"17.958,82 ";"13.151 ";"16.673,22 ";"8.174 ";"21.348,85 ";"21.325 ";"18.465,41 "
" ";"Operai";"";"30.070 ";"8.132,67 ";"89.418 ";"12.330,45 ";"119.488 ";"11.274,05 ";"31.760 ";"8.101,87 ";"95.404 ";"12.377,97 ";"127.164 ";"11.309,99 ";"30.906 ";"8.109,31 ";"91.582 ";"12.286,01 ";"122.488 ";"11.232,15 ";"28.707 ";"8.338,62 ";"84.087 ";"12.530,68 ";"112.794 ";"11.463,77 ";"27.566 ";"8.292,26 ";"81.620 ";"12.479,75 ";"109.186 ";"11.422,54 ";"28.964 ";"8.393,48 ";"83.514 ";"12.813,13 ";"112.478 ";"11.675,04 ";"29.053 ";"8.721,10 ";"82.356 ";"13.386,93 ";"111.409 ";"12.170,18 ";"31.387 ";"8.665,89 ";"85.908 ";"13.452,87 ";"117.295 ";"12.171,92 ";"32.545 ";"8.797,26 ";"91.566 ";"13.632,04 ";"124.111 ";"12.364,24 ";"33.415 ";"8.980,87 ";"94.467 ";"14.044,72 ";"127.882 ";"12.721,56 "
" ";"Quadri";"";"87 ";"40.632,09 ";"271 ";"34.409,45 ";"358 ";"35.921,65 ";"102 ";"40.561,05 ";"294 ";"30.623,76 ";"396 ";"33.183,36 ";"118 ";"47.707,52 ";"277 ";"37.773,46 ";"395 ";"40.741,10 ";"123 ";"48.224,17 ";"237 ";"47.746,24 ";"360 ";"47.909,54 ";"128 ";"51.940,91 ";"241 ";"52.730,14 ";"369 ";"52.456,37 ";"140 ";"54.084,13 ";"278 ";"65.986,12 ";"418 ";"61.999,81 ";"172 ";"47.354,26 ";"294 ";"55.560,40 ";"466 ";"52.531,52 ";"176 ";"51.422,30 ";"285 ";"57.000,44 ";"461 ";"54.870,82 ";"193 ";"57.708,49 ";"336 ";"59.190,13 ";"529 ";"58.649,57 ";"216 ";"57.596,33 ";"318 ";"62.712,86 ";"534 ";"60.643,25 "
" ";"Altro";"";"21 ";"7.780,14 ";"10 ";"13.230,70 ";"31 ";"9.538,39 ";"67 ";"7.604,66 ";"66 ";"10.496,44 ";"133 ";"9.039,68 ";"70 ";"6.768,57 ";"80 ";"10.583,13 ";"150 ";"8.803,00 ";"68 ";"7.504,78 ";"80 ";"10.224,75 ";"148 ";"8.975,03 ";"71 ";"6.034,87 ";"68 ";"10.411,88 ";"139 ";"8.176,14 ";"81 ";"5.041,74 ";"67 ";"10.269,18 ";"148 ";"7.408,22 ";"88 ";"6.504,15 ";"64 ";"12.501,48 ";"152 ";"9.029,34 ";"99 ";"7.389,29 ";"74 ";"11.227,35 ";"173 ";"9.031,01 ";"96 ";"6.772,60 ";"66 ";"14.124,09 ";"162 ";"9.767,65 ";"129 ";"7.414,01 ";"56 ";"13.069,93 ";"185 ";"9.126,07 "
"Lavoratori dipendenti del settore privato non agricolo";"Totale";"";"41.935 ";"9.618,03 ";"100.395 ";"12.576,03 ";"142.330 ";"11.704,51 ";"44.054 ";"9.612,27 ";"106.774 ";"12.628,14 ";"150.828 ";"11.747,26 ";"43.589 ";"9.692,92 ";"102.913 ";"12.603,26 ";"146.502 ";"11.737,34 ";"41.128 ";"10.000,04 ";"95.086 ";"12.892,48 ";"136.214 ";"12.019,15 ";"39.652 ";"9.980,15 ";"92.623 ";"12.844,14 ";"132.275 ";"11.985,60 ";"41.847 ";"10.250,62 ";"94.637 ";"13.381,08 ";"136.484 ";"12.421,26 ";"42.444 ";"10.684,17 ";"94.586 ";"13.854,23 ";"137.030 ";"12.872,33 ";"46.089 ";"10.607,37 ";"99.762 ";"13.901,45 ";"145.851 ";"12.860,52 ";"49.308 ";"10.911,07 ";"107.488 ";"14.181,32 ";"156.796 ";"13.152,91 ";"51.819 ";"11.283,26 ";"112.713 ";"14.613,62 ";"164.532 ";"13.564,73 "
" -Lavoratori domestici";"Badanti";"";"6.820 ";"7.565,74 ";"2.517 ";"6.069,20 ";"9.337 ";"7.162,32 ";"5.583 ";"7.454,53 ";"1.182 ";"6.023,08 ";"6.765 ";"7.204,42 ";"5.783 ";"7.530,47 ";"2.280 ";"6.276,83 ";"8.063 ";"7.175,97 ";"4.966 ";"7.874,63 ";"1.731 ";"6.871,72 ";"6.697 ";"7.615,40 ";"4.265 ";"8.077,46 ";"972 ";"6.732,99 ";"5.237 ";"7.827,92 ";"3.816 ";"8.119,29 ";"766 ";"7.624,86 ";"4.582 ";"8.036,63 ";"3.214 ";"8.473,71 ";"625 ";"7.969,85 ";"3.839 ";"8.391,68 ";"2.891 ";"8.174,81 ";"518 ";"8.324,80 ";"3.409 ";"8.197,60 ";"2.680 ";"8.139,00 ";"486 ";"8.672,35 ";"3.166 ";"8.220,87 ";"2.561 ";"8.132,33 ";"450 ";"9.244,36 ";"3.011 ";"8.298,52 "
" ";"Colf";"";"21.095 ";"6.595,27 ";"17.984 ";"4.784,14 ";"39.079 ";"5.761,80 ";"18.357 ";"6.514,36 ";"11.114 ";"4.231,72 ";"29.471 ";"5.653,54 ";"18.534 ";"6.341,49 ";"19.926 ";"4.417,44 ";"38.460 ";"5.344,65 ";"15.145 ";"6.694,05 ";"14.963 ";"5.011,83 ";"30.108 ";"5.858,03 ";"12.661 ";"6.693,95 ";"8.156 ";"4.856,44 ";"20.817 ";"5.974,02 ";"10.761 ";"6.828,99 ";"5.439 ";"5.754,42 ";"16.200 ";"6.468,21 ";"9.081 ";"7.153,43 ";"3.959 ";"6.567,76 ";"13.040 ";"6.975,62 ";"7.688 ";"7.212,68 ";"2.945 ";"7.207,67 ";"10.633 ";"7.211,30 ";"6.536 ";"7.332,59 ";"2.191 ";"7.381,92 ";"8.727 ";"7.344,97 ";"5.647 ";"7.356,87 ";"1.529 ";"7.623,90 ";"7.176 ";"7.413,76 "
"Lavoratori domestici";"Totale";"";"27.915 ";"6.832,37 ";"20.501 ";"4.941,91 ";"48.416 ";"6.031,89 ";"23.940 ";"6.733,62 ";"12.296 ";"4.403,92 ";"36.236 ";"5.943,08 ";"24.317 ";"6.624,25 ";"22.206 ";"4.608,36 ";"46.523 ";"5.662,04 ";"20.111 ";"6.985,57 ";"16.694 ";"5.204,68 ";"36.805 ";"6.177,80 ";"16.926 ";"7.042,56 ";"9.128 ";"5.056,26 ";"26.054 ";"6.346,66 ";"14.577 ";"7.166,77 ";"6.205 ";"5.985,32 ";"20.782 ";"6.814,02 ";"12.295 ";"7.498,56 ";"4.584 ";"6.758,92 ";"16.879 ";"7.297,69 ";"10.579 ";"7.475,61 ";"3.463 ";"7.374,78 ";"14.042 ";"7.450,74 ";"9.216 ";"7.567,09 ";"2.677 ";"7.616,20 ";"11.893 ";"7.578,14 ";"8.208 ";"7.598,82 ";"1.979 ";"7.992,37 ";"10.187 ";"7.675,27 "
"Totale";"Totale";"";"70.323 ";"8.476,87 ";"125.303 ";"11.251,61 ";"195.626 ";"10.254,16 ";"68.479 ";"8.572,03 ";"123.747 ";"11.728,22 ";"192.226 ";"10.603,85 ";"68.381 ";"8.567,76 ";"129.814 ";"11.170,71 ";"198.195 ";"10.272,64 ";"61.694 ";"8.976,84 ";"116.281 ";"11.716,32 ";"177.975 ";"10.766,70 ";"57.006 ";"9.069,70 ";"106.124 ";"12.103,13 ";"163.130 ";"11.043,10 ";"56.884 ";"9.414,58 ";"104.980 ";"12.873,83 ";"161.864 ";"11.658,14 ";"55.187 ";"9.923,79 ";"103.331 ";"13.435,00 ";"158.518 ";"12.212,60 ";"57.136 ";"9.979,74 ";"107.385 ";"13.590,34 ";"164.521 ";"12.336,43 ";"59.011 ";"10.339,17 ";"114.681 ";"13.900,21 ";"173.692 ";"12.690,37 ";"60.532 ";"10.734,78 ";"119.319 ";"14.387,37 ";"179.851 ";"13.158,03 "
